Entity,Super
Q23958852,"['Q23960977', 'Q23958852']"
Q24017465,"['Q23959932', 'Q24027474']"
Q23959932,"['Q23960977', 'Q23958852']"
Q1914636,"['Q4026292', 'Q20937557']"
Q12483,"['Q11862829', 'Q4671286', 'Q816264', 'Q395']"
Q28969293,['Q3405827']
Q18691599,['Q13226383']
Q602884,['Q483247']
Q67518233,"['Q3249551', 'Q67518978']"
Q57812559,['Q26401003']
Q7377,"['Q729', 'Q16521']"
Q98119401,"['Q16889133', 'Q24017465']"
Q21522864,['Q35120']
Q9158768,['Q6671777']
Q2305786,['Q16521']
Q2634521,"['Q216353', 'Q3320743', 'Q23847174']"
Q20127274,['Q59157079']
Q3320743,"['Q216353', 'Q618779', 'Q4189293']"
Q23847174,['Q151885']
Q59157079,['Q11028']
Q4189293,"['Q82799', 'Q4164871', 'Q4120621']"
Q15401930,['Q16686448']
Q2897903,"['Q26907166', 'Q29028649']"
Q362200,"['Q2424752', 'Q8205328']"
Q19279121,['Q42889']
Q28972820,"['Q3249551', 'Q1150070']"
Q180684,['Q839578']
Q1931388,['Q179289']
Q153556,"['Q1183543', 'Q15142889', 'Q728']"
Q99527517,"['Q35120', 'Q23958852']"
Q16887380,"['Q19478619', 'Q28813620']"
Q99469810,"['Q24017414', 'Q24017465']"
Q28813620,['Q99527517']
Q19868531,['Q151885']
Q21146257,"['Q16889133', 'Q19478619']"
Q21162272,['Q4026292']
Q3245975,"['Q2424752', 'Q1485500']"
Q11019,"['Q1183543', 'Q39546']"
Q337060,['Q223557']
Q478798,['Q11795009']
Q3695082,"['Q7184903', 'Q11028']"
Q286583,['Q8205328']
Q1554180,['Q488383']
Q2393196,['Q1207505']
Q4026292,"['Q1190554', 'Q33104279']"
Q3769299,['Q9332']
Q104637332,['Q67518233']
Q35145263,"['Q618123', 'Q16686022', 'Q27096220']"
Q3249551,"['Q1190554', 'Q1150070', 'Q20937557']"
Q13878858,['Q3249551']
Q64732777,['Q483247']
Q22299483,"['Q2996394', 'Q22299433']"
Q12893838,"['Q1207505', 'Q3505845']"
Q2695280,"['Q3249551', 'Q1914636', 'Q21162272']"
Q15710813,"['Q1454986', 'Q6671777']"
Q33104279,['Q151885']
Q35145743,"['Q618123', 'Q27096235']"
Q13226383,"['Q2221906', 'Q618123', 'Q43229', 'Q27096235']"
Q214609,"['Q2424752', 'Q28555911']"
Q1207505,"['Q937228', 'Q33104279', 'Q96253971']"
Q4373292,"['Q937228', 'Q96253971']"
Q14506045,['Q1293220']
Q40890790,['Q9128']
Q41689629,['Q2695280']
Q46857,['Q1799072']
Q55214844,"['Q103994247', 'Q103995117', 'Q24017414']"
Q103995117,"['Q21146257', 'Q103994247', 'Q24017414']"
Q15989253,['Q35120']
Q4503801,['Q21484471']
Q217594,"['Q16889133', 'Q246672']"
Q12047392,"['Q16889133', 'Q24017414']"
Q104098715,"['Q19478619', 'Q24017414']"
Q4936952,"['Q27043948', 'Q104007623', 'Q28845870']"
Q104030742,"['Q103820425', 'Q103997018', 'Q24017414']"
Q28845870,"['Q1310239', 'Q16686022']"
Q11862829,"['Q1047113', 'Q24017414']"
Q8148,"['Q1914636', 'Q3958441']"
Q104093226,"['Q104086571', 'Q24017414']"
Q184754,"['Q190087', 'Q20937557']"
Q1554231,"['Q31464082', 'Q35120']"
Q58416391,['Q58415929']
Q714737,"['Q151885', 'Q33104279']"
Q12812139,['Q1969448']
Q828803,['Q216353']
Q16023913,"['Q79719', 'Q374814', 'Q601401']"
Q11974939,"['Q702269', 'Q55645123', 'Q28640']"
Q192581,"['Q16532276', 'Q189970']"
Q36161,"['Q217594', 'Q864377', 'Q246672', 'Q19361238', 'Q5469988']"
Q17573152,"['Q215627', 'Q4392985']"
Q11688446,"['Q178885', 'Q4271324']"
Q7805266,['Q178885']
Q24284226,['Q178885']
Q178885,"['Q4271324', 'Q15619164', 'Q28855038']"
Q15619164,['Q830077']
Q28855038,"['Q30060629', 'Q18706315']"
Q24334685,['Q18706315']
Q7249602,['Q51159758']
Q51159758,['Q149086']
Q149086,"['Q844482', 'Q2438541', 'Q74948922']"
Q45713,"['Q3707571', 'Q22989102']"
Q3707571,['Q6949149']
Q22989102,"['Q95074', 'Q178885', 'Q22988604']"
Q6949149,"['Q2239243', 'Q4271324', 'Q28020127']"
Q95074,"['Q6647660', 'Q14897293', 'Q18336849']"
Q22988604,"['Q95074', 'Q4271324']"
Q14819856,"['Q2996394', 'Q2990593']"
Q170430,['Q1823478']
